"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"1  bounded context.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","2887400","3779200","526000","3373100","3533100","413000","176000","67200","1545200","2396400","1880400","37200","286400","60","108","59831"
"1 Abstract Factory v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","63500","777300","73300","2523900","1897400","44000","24000","10500","1305000","2007900","2001800","38600","1111900","68","86","104809"
"1 Accountability.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","66800","133400","51000","430300","568700","33000","20400","15400","766800","1038700","934900","31300","41600","34","46","133638"
"1 Adapter v1.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","52400","78000","44200","191100","151500","20100","17600","15700","82200","178900","209000","21600","26100","14","20","47594"
"1 associations.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 core domain.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","27900","164600","25800","108500","150000","16300","11700","10200","90900","242200","221200","18300","35200","19","42","40283"
"1 evolving order.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","34200","89600","29100","99700","226700","18000","13900","8500","459600","532000","636100","28500","43700","33","52","41273"
"1 model-driven design.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","47400","62300","33400","207400","246300","22400","15400","16800","203100","339900","253500","24500","21900","22","21","31332"
"1 Service Layer.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","37700","64900","46900","89000","91600","26600","22400","14000","189100","385300","80000","16500","83000","16","11","11567"
"1 ubiquitous language.xml","0","0","1","0","1","0","0","0","0","0","0","0","0","0","54500","173900","46400","209100","277800","26500","26200","12200","190900","284400","468900","16800","48400","31","48","26362"
"10 Layered Architecture for Information Systems.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","33800","34800","21000","111500","113700","14300","13000","10400","108900","140900","117600","10600","12200","19","12","25451"
"10 published language.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","28700","183700","37300","129600","282300","17000","15500","10900","359900","349400","391200","14600","24000","33","65","101342"
"10 repositories.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","1","43200","185700","38000","603700","1228200","27200","17100","10300","1729000","1462700","1776900","25200","39000","100","91","107977"
"10 Service Stub.xml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","22300","43000","16400","82300","99300","11800","8500","6200","74700","109400","115000","9500","11700","18","20","22429"
"10 Template Method v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 domain events.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 Patterns for Type Model Design.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","35500","172100","31800","529400","1113400","15000","10400","5400","2288300","1416500","1690600","19300","25200","96","93","102524"
"11 Visitor v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12 Association Patterns.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","19500","23500","13400","52300","66100","7500","6700","5000","60400","79100","85100","6700","8900","15","18","7410"
"2 Bridge v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","28100","733100","26200","1222300","2805800","30200","10100","4600","3326500","3194100","4623500","34900","34700","122","165","130723"
"2 Builder v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 Command v1.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","23800","1184500","25000","162300","272400","13100","6700","4400","199400","354400","572400","19600","24300","32","40","38499"
"2 constraints.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 continuous integration.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","19000","84100","14700","77300","128600","10600","6900","5200","119800","140200","161600","9100","12800","25","45","38506"
"2 generic subdomains.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","131000","149500","20300","74600","86700","9300","6300","6500","107300","89000","93500","7300","12000","23","49","28793"
"2 intention-revealing interfaces.xml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26200","130300","13900","159600","113400","9900","7700","6900","171700","133000","192800","11900","22200","31","31","17544"
"2 layered architecture.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","0","43100","570600","39800","748300","1256900","22900","9900","31300","3258500","1627800","1825700","54400","65200","122","177","167104"
"2 Observations and Measurements.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","19300","355600","17800","197700","201600","7800","4900","5200","480400","269400","294400","12800","14300","50","76","180921"
"2 system metaphor.xml","0","0","1","0","0","0","0","0","0","0","0","0","1","0","12100","22500","9200","27400","23400","5800","3900","4300","25000","22500","22300","6600","6200","9","14","15291"
"20 most optimal one Subdomain per Bounded Context.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","11700","48400","9600","35300","51900","5600","3500","4800","79400","44100","45800","5200","7800","16","30","22070"
"21 the same physical entity in different contexts.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","12700","282500","13900","131700","228500","7200","4200","15700","396500","283000","306500","9200","43100","43","62","35317"
"3 Composite v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","15800","121600","14800","253500","417800","20500","8400","5200","921800","488100","639200","29700","30100","52","49","56250"
"3 contextual map.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","35000","532500","32100","194700","207100","10300","7500","5500","541500","473900","546900","18600","27900","50","88","81857"
"3 domain vision statement.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","13800","11400","7700","15000","14600","5300","3400","3800","90600","16700","15000","5200","6600","8","7","8945"
"3 Factory Method v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","11100","100600","11800","155100","301400","8600","4100","4500","107900","303600","228700","9800","11300","35","48","42198"
"3 Interpreter v1.xml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","13100","376400","15200","336200","364900","9300","5400","4800","438900","429800","529100","12100","17100","60","81","57569"
"3 Observations for Corporate Finance.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","0","16500","912100","19800","504300","669400","13600","6900","7000","660800","799700","1004400","20600","19200","88","112","274052"
"3 processes.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3 responsibility layers.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","20800","80100","20200","195400","375500","13600","9000","6100","2055600","472800","514500","29200","39500","69","25","70266"
"3 side-effect free functions.xml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12400","12200","11900","98400","21800","5000","4800","4600","11600","17300","15600","4300","6800","7","5","9051"
"3 user interface.xml","0","0","1","0","0","1","0","0","0","1","0","0","1","1","564100","5614600","70400","1837500","5774000","110600","12200","127400","12763000","8423100","8589200","45900","81700","246","496","239038"
"30 app example 1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31 app example 2.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32 app example 3.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33 app example 4.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","17800","118300","16600","306900","320800","10000","5000","14000","460100","367300","432700","22000","27500","62","71","75196"
"33 integration of bouded contexts through enterprise service bus.xml","0","0","1","0","1","1","0","0","0","1","0","0","1","1","79500","417300","19300","154700","380000","27200","5400","21300","315700","455700","532600","14000","15900","57","107","75172"
"33 integration of bouded contexts through message queue.xml","0","0","1","0","0","1","0","0","0","1","0","0","1","1","79700","369100","19300","148300","173100","26300","5700","19700","313500","441900","510400","18500","25100","56","111","75860"
"4 assertions.xml","0","0","1","0","0","0","0","0","0","0","0","0","1","0","10000","26600","8400","30300","23800","8000","3700","3200","12100","28300","27300","7500","6400","9","14","12269"
"4 Decorator v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","15900","354000","18500","478100","358300","328700","11100","4500","558100","727400","760700","15100","22300","76","93","67679"
"4 entities.xml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","16400","130700","17400","244800","225100","8400","4500","4100","243000","349500","388900","12200","42200","59","66","52140"
"4 highlighted core.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","11100","97700","10600","37800","49000","5600","3800","3400","26500","65100","69300","5400","8300","20","44","26713"
"4 Iterator v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","12600","404400","15600","298500","292300","7800","4800","3300","257700","369500","452300","12400","17600","62","105","75089"
"4 knowledge level.xml","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11000","13500","9300","10000","9400","4100","3600","3100","9400","7600","7900","4000","6500","5","5","6150"
"4 Prototype v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4 Referring to Objects.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","11200","17800","9300","31100","26400","5000","4500","3200","49100","29200","27800","5900","7600","16","14","38752"
"4 shared kernel.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","14500","644900","17600","163800","175500","8500","4500","4400","282700","332700","334800","10100","14300","62","132","96308"
"4 specification.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","12100","31400","10900","70100","51700","7600","3900","4200","23800","57400","56000","6600","9600","22","17","21183"
"5 cohesive mechanisms.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","10600","73900","11000","45500","63000","6500","3800","3500","23300","51500","53000","6300","7800","20","43","25764"
"5 conceptual contours.xml","0","0","0","0","1","0","0","0","0","1","0","0","1","0","21700","16000","11400","36400","28900","6000","4300","5200","18800","28700","28400","9600","9200","15","10","20160"
"5 customer-supplier teams.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","13100","134100","14100","48500","63600","6900","4300","4400","37700","63100","63100","6200","9500","22","47","50734"
"5 dependency Inversion.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","11900","86200","11100","71800","69300","5600","3600","11400","63600","92100","95200","7900","8900","31","48","42735"
"5 Facade v1.xml","0","0","0","0","0","0","0","0","0","1","0","1","0","0","12500","79900","13900","148900","137500","6700","4300","3400","86500","161100","265800","11600","14100","45","49","50338"
"5 Inventory and Accounting.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 Mediator v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","14500","126900","17100","113200","113200","7400","4700","3500","56100","130500","170400","13700","21800","33","46","41036"
"5 pluggable component framework.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","59000","178700","15600","114800","112200","13500","5000","15400","100600","157000","169600","9000","10000","44","70","59075"
"5 Singleton v1.xml","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11800","25000","8300","39000","31600","5200","3300","3000","10700","33000","46800","5900","6800","12","20","18104"
"5 value-objects.xml","0","0","0","0","1","0","0","0","0","1","0","0","1","0","12100","72100","12200","257900","216000","8400","6100","4400","276400","308500","270700","14500","15700","53","59","48789"
"6 Archisurance.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","354700","6724900","49600","1345000","1560000","62400","62000","57100","375000","2157800","2079000","37100","47800","120","178","225949"
"6 conformist.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","9400","76400","9700","48400","53900","5400","3600","3100","29800","91100","46800","5400","7400","18","41","48124"
"6 declarative style.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6 domain services.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","1","116000","146700","17500","234900","213900","30800","5900","15500","128000","520600","325900","15300","26300","73","77","90284"
"6 event sourcing.xml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8400","14300","9600","28700","25600","5100","3300","3100","11700","27300","24900","4200","5600","11","9","16180"
"6 Flyweight v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","10500","208600","14100","8526800","212600","14900","5600","3900","135900","342500","340200","10000","14000","62","86","108120"
"6 Memento v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","8500","96700","8700","52200","46100","5000","3400","2600","37600","71700","76100","6200","8500","26","33","35900"
"6 Planning.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","8100","148500","9900","68300","66400","5100","3600","3500","103900","312800","112600","8900","9300","41","58","250884"
"6 standalone classes.xml","0","0","0","0","1","0","0","0","0","1","0","0","1","0","7000","14200","7000","25400","21600","4400","3300","2800","14300","28000","23800","6500","6200","17","12","15044"
"7 anticorruption layer.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","12000","208500","10600","34500","47600","5800","3900","2800","43000","76600","69100","8600","8600","26","52","70559"
"7 closure of operations.xml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","7900","7000","15200","10800","4900","3100","3300","5600","10400","10000","3200","5500","5","6","6563"
"7 modules.xml","0","0","0","0","0","0","0","0","0","1","0","0","1","0","13200","8900","8300","17600","15800","6600","3600","3000","9300","17900","16000","6400","5500","12","10","11557"
"7 Observer v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","10400","94900","10200","63500","62300","6300","3900","2900","40600","94700","98000","6700","9600","28","41","47004"
"7 Proxy v1.xml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","9700","177200","11500","94300","103200","6100","4000","3000","56800","194000","159100","8400","10000","32","61","42471"
"7 segregated core.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","9100","192600","10400","69500","86600","6100","3700","3200","78600","276700","150700","7500","9700","42","97","38150"
"7 Trading.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8 abstract core.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","7600","92500","8600","36600","47000","5100","3400","3200","22500","67100","56800","5300","6800","23","54","32114"
"8 aggregates.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","0","12800","1944500","22700","1107500","1086700","9200","6600","3500","1310400","2644800","2301900","28300","43400","209","298","233613"
"8 CQRS An Architecture of a Bounded Context.xml","0","0","1","0","1","0","0","0","0","0","0","0","0","0","8300","8500","7600","12800","9600","3300","3000","2900","4500","10000","9400","3100","8100","7","5","13759"
"8 Derivative Contracts.xml","0","0","0","0","1","0","0","0","0","1","0","1","1","0","10100","94700","11200","117500","117900","6800","4000","3500","106300","246400","205200","12700","12500","61","64","131322"
"8 separate ways.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","7500","67900","10700","47900","60400","5000","3500","3100","54900","120700","96300","6300","7900","33","71","50154"
"8 State v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","7800","96000","9500","89600","84000","5300","3900","2600","57800","144500","141000","7000","10800","35","55","47108"
"9 factories.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","10700","50400","12700","83800","78800","6200","4500","3200","51800","114200","108200","8100","10500","34","44","36546"
"9 open host service.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","8700","115200","10200","31300","46200","5400","3500","2800","39700","79600","65000","5800","7500","26","56","60694"
"9 Strategy v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9 Trading Packages.xml","0","0","1","0","1","0","0","0","0","1","0","1","1","0","12100","885900","16300","337000","328800","7300","5300","3700","323700","891300","651600","19200","17500","104","161","147751"
"Active Record.xml","0","0","1","0","0","0","0","0","0","1","0","1","0","0","10300","305800","11900","191900","201700","6400","4100","3000","259800","389900","341000","10100","14800","66","106","57143"
"additional patterns 2 Martins Clean Architecture BAD.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","1","11400","461100","15600","388900","396500","7900","6000","2900","392200","789900","665400","13900","25800","112","131","306468"
"additional patterns 2 Martins Clean Architecture GOOD.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","1","20400","329900","15200","423400","433900","7500","5400","4200","413500","706100","734700","16400","26700","121","142","376070"
"aditional patterns2 (martin's clean architecture).xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alastria.xml","0","0","1","0","0","1","0","0","0","0","1","1","0","0","21900","1103900","16200","830500","2413100","12900","8300","4400","377200","1252200","1353400","15200","21200","109","289","295629"
"alo.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AMS2020_G010_E!.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"analysis patterns overview.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andromeda Games.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","1","573600","1370100","90200","2224500","4740300","108900","17000","49000","38235300","3062800","3356800","59900","602600","494","248","471439"
"App Store.xml","0","0","1","0","0","0","0","0","0","0","0","0","0","0","29800","25500","19700","22900","26200","23200","4400","6000","6600","17600","18400","4600","10500","10","13","14484"
"application-collaboration.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archi StyledHtml module.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","0","15700","1619000","21400","589200","1285400","20700","14700","6400","2019700","2118000","2398000","81200","58200","213","228","153788"
"Archimate recipes.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ArchiMate template.xml","0","0","0","0","1","0","0","0","0","0","0","1","0","0","14200","66500","13700","58000","60500","10600","5600","12000","6500","52500","67600","7600","6700","21","26","92050"
"Archimate-kurs del 1.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","11800","19600","11600","50600","40300","15100","5100","7300","12700","42900","45000","5500","6900","25","17","32006"
"archimate_architecture_model.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archisurance Senario 2.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","447000","810500","35900","648700","636600","50300","7000","4700","811400","939700","1044300","17800","22200","157","176","153212"
"Archisurance.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","140000","6165500","36400","346200","325200","28400","10700","27700","183600","569400","627600","15400","20300","120","176","225618"
"Architecture Model.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"architecture scenario.xml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6400","55800","17000","21600","17300","4600","3800","4600","9400","16200","16700","4000","5100","11","11","21535"
"architecture.xml","0","0","1","0","1","0","0","0","0","0","0","0","0","1","12700","14900","12900","43600","35700","8400","3700","3000","12300","41200","43400","5800","6800","26","19","14634"
"Archivatrion.xml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5900","8400","8500","29200","22300","5000","3300","3000","6600","21200","22300","4500","5300","14","10","12497"
"Archi_Sample.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8400","4500","9300","30100","23900","9700","4100","4100","14100","27600","22900","4800","5800","20","2","23220"
"Archi_Sample2.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10800","7100","12200","33200","24300","10100","4100","4000","13600","22700","22900","4900","6300","20","2","23220"
"arquitectura.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","21200","214700","13100","115800","108700","10400","4600","3500","56200","171000","172300","8400","10000","50","72","43691"
